"Date","TotalEvents"
2023-07-10,1
2023-07-12,1
2023-07-19,2
2023-08-03,1
2023-08-04,2
2023-08-10,1
2023-08-12,3
2023-08-13,1
2023-08-14,1
2023-08-15,102
2023-08-16,419
2023-08-17,379
2023-08-18,393
2023-08-19,275
2023-08-20,198
2023-08-21,585
2023-08-22,646
2023-08-23,658
2023-08-24,528
2023-08-25,439
2023-08-26,297
2023-08-27,238
2023-08-28,437
2023-08-29,447
2023-08-30,320
2023-08-31,445
2023-09-01,443
2023-09-02,298
2023-09-03,256
2023-09-04,497
2023-09-05,618
2023-09-06,722
2023-09-07,546
2023-09-08,703
2023-09-09,544
2023-09-10,501
2023-09-11,950
2023-09-12,951
2023-09-13,942
2023-09-14,1006
2023-09-15,881
2023-09-16,319
2023-09-17,267
2023-09-18,545
2023-09-19,559
2023-09-20,514
2023-09-21,544
2023-09-22,574
2023-09-23,353
2023-09-24,295
2023-09-25,754
2023-09-26,1047
2023-09-27,1339
2023-09-28,1441
2023-09-29,1529
2023-09-30,878
2023-10-01,796
2023-10-02,1449
2023-10-03,1423
2023-10-04,1500
2023-10-05,1370
2023-10-06,1420
2023-10-07,707
2023-10-08,755
2023-10-09,1509
2023-10-10,1473
2023-10-11,1353
2023-10-12,1265
2023-10-13,1219
2023-10-14,794
2023-10-15,708
2023-10-16,1262
2023-10-17,1191
2023-10-18,1196
2023-10-19,1255
2023-10-20,1245
2023-10-21,764
2023-10-22,612
2023-10-23,1296
2023-10-24,1328
2023-10-25,799
2023-10-26,1278
2023-10-27,1176
2023-10-28,720
2023-10-29,626
2023-10-30,1333
2023-10-31,1325
2023-11-01,1239
2023-11-02,1152
2023-11-03,1328
2023-11-04,834
2023-11-05,746
2023-11-06,1327
2023-11-07,1091
2023-11-08,1218
2023-11-09,1213
2023-11-10,1274
2023-11-11,902
2023-11-12,709
2023-11-13,1255
2023-11-14,1135
2023-11-15,1081
2023-11-16,1151
2023-11-17,1029
2023-11-18,708
2023-11-19,544
2023-11-20,1249
2023-11-21,1237
2023-11-22,1222
2023-11-23,1180
2023-11-24,1232
2023-11-25,853
2023-11-26,685
2023-11-27,1194
2023-11-28,1211
2023-11-29,1295
2023-11-30,623
